Party Name,Election Symbol,States,Headquarter Address
Aam Janta Pragati Party,Election Symbol not available,All-India [73],Web Link is not associated with the Party on Wikipedia
Akhil Bharat Hindu Mahasabha,Election Symbol not available,All-India,New Delhi
All India Hindustan Congress Party,Election Symbol not available,Gujarat Rajasthan,Jaipur, Rajasthan
All India Mahila Empowerment Party,Election Symbol not available,Telangana Karnataka,Hyderabad, Telangana, India
Amma Makkal Munnettra Kazagam,Election Symbol not available,Tamil Nadu,21/11, 1st Main Road, Karpagam Gardens, Adyar, Chennai – 600020, Tamil Nadu, India.
Amra Bangali,Election Symbol not available,West Bengal Tripura,Kolkata, West Bengal
Azad Adhikar Sena,Election Symbol not available,Uttar Pradesh,5/426, Viram Khand, Gomtinagar, Lucknow -226010[1]
Azad Samaj Party (Kanshi Ram),Election Symbol not available,Uttar Pradesh,3/22-c-136, c block Gokulpur New Delhi, 110094
Bahujan Mukti Party,Election Symbol not available,Uttar Pradesh Maharashtra,Adress Not Found on Wikipedia
Bharatiya Minorities Suraksha Mahasangh,Election Symbol not available,Maharashtra,Sir Jamshedji Jeejeebhoy Rd, Nagpada, Mumbai, Maharashtra 400008
Gorkha Janmukti Morcha,Election Symbol not available,West Bengal,Adress Not Found on Wikipedia
Goa Suraksha Manch,Election Symbol not available,Goa,Shop No. 644/1, Ward No. 4, Ground Floor, Ahilyaram Niwas, Savaiverem, Ponda, Goa
Gondwana Ganatantra Party,Election Symbol not available,Chhattisgarh Jharkhand Maharashtra,Village Tiwarta, Teh. Katghora, Korba district, Chhattisgarh
Hindu Sena,Election Symbol not available,New Delhi,Adress Not Found on Wikipedia
Hindustani Awam Morcha[74],Election Symbol not available,Bihar,12, Strand Rd, Rajbansi Nagar, Patna, Bihar 800015
Indiya Jananayaka Katchi,Election Symbol not available,Tamil Nadu,No. 9, 3rd Avenue, 3th Street, Ashok Nagar, Chennai-600083, Tamil Nadu, India
Indian Gandhiyan Party,Election Symbol not available,Kerala,National Election Coordinator Mr. Aashin U S Kuriyakott Building, Thekkumpadam Road, Pattikkad P.O., Thrissur District, Kerala 680509
Indian Secular Front,Election Symbol not available,West Bengal,Furfura Sharif, Hooghly, West Bengal
Ittehad-e-Millat Council,Election Symbol not available,Uttar Pradesh,Bareilly, Uttar Pradesh
Jammu and Kashmir Apni Party,Election Symbol not available,Jammu and Kashmir,Adress Not Found on Wikipedia
Jammu and Kashmir Workers Party,Election Symbol not available,Jammu and Kashmir,Adress Not Found on Wikipedia
Jan Shakti Party of India[75],Election Symbol not available,Punjab,Ludhiana, Punjab
Jansatta Dal (Loktantrik),Election Symbol not available,Uttar Pradesh,Lucknow
Jan Suraaj Party,Election Symbol not available,Bihar,Suite No. 2, 1st Floor, Dakshineshwar Building, 10 Hailey Road, New Delhi-110001
Jharkhand Loktantrik Krantikari Morcha,Election Symbol not available,Jharkhand,Indrapuri Colony, Badhraibera, Sec-12, Bokaro, Jharkhand
Karnataka Rashtra Samithi,Election Symbol not available,Karnataka,Bengaluru[5]
Kerala Congress (B),Election Symbol not available,Kerala,P. T. Chacko Smaraka Mandiram, S. S. Kovil Road, Thampanoor, Thiruvananthapuram-695001, Kerala
Kerala Congress (Jacob),Election Symbol not available,Kerala,Central Committee Office, T.B Road, Kottayam, Kerala
Kongunadu Makkal Desia Katchi,Election Symbol not available,Tamil Nadu,Administrative Office, Door no. 46, Sampath Nagar, Erode
Kongunadu Makkal Katchi,Election Symbol not available,Tamil Nadu,TTS Complex-58, Mettur Road, Erode District-638011, Tamil Nadu[1]
Lok Satta Party,Election Symbol not available,Andhra Pradesh Telangana,H.No: 8-2-674B/2/9, Road No: 13A, Banjara Hills Hyderabad- 500034
Lok Insaaf Party,Election Symbol not available,Punjab,Adress Not Found on Wikipedia
Makkal Needhi Maiam,Election Symbol not available,Tamil Nadu Puducherry,4, Eldams Road, Vannia Teynampet, Alwarpet, Chennai-600018, Tamil Nadu, India
Manipur Peoples Party,Election Symbol not available,Manipur,People’s Road, Imphal- 795001, Manipur
Manithaneya Makkal Katchi,Election Symbol not available,Tamil Nadu,7, Vadamaraicoir Street Mannady, Chennai, Tamil Nadu, India.
Marumalarchi Dravida Munnetra Kazhagam,Election Symbol not available,Tamil Nadu Puducherry,Thayagam, 12, Rukmini Lakshmipathi Salai, Egmore, Chennai – 600008, Tamil Nadu, India.
NISHAD Party,Election Symbol not available,Uttar Pradesh,Adress Not Found on Wikipedia
Odisha Jan Morcha,Election Symbol not available,Odisha,Bhubaneshwar
Param Digvijay Dal,Election Symbol not available,Uttar Pradesh,Vishisht Dhyan Yog Ashram, 248, Tedhi Bazar, Ayodhya, Faizabad(UP) - 224123
Pattali Makkal Katchi,Election Symbol not available,Puducherry Tamil Nadu,Tindivanam, Villupuram District, Chennai - 604001, Tamil Nadu
Peace Party of India,Election Symbol not available,Uttar Pradesh,Johra Complex, Barhalganj, Gorakhpur - 273402 (U.P.)
People's Democratic Alliance (Manipur),Election Symbol not available,Manipur,Ragailong, Imphal, Imphal East district, Manipur, India – 795 001
People's Democratic Front,Election Symbol not available,Tripura,Adress Not Found on Wikipedia
Plurals Party,Election Symbol not available,Bihar,Sukhbaso Complex, 3rd Floor, Opposite Western Hotel, Plot No. 130, Danapur Khagaul Road, Patna, Bihar, 801503 [1]
Puthiya Tamilagam,Election Symbol not available,Tamil Nadu,Pothigai Illam, 1/2A, VGM Street, Nungambakkam, Chennai – 600034, Tamil Nadu, India.
Raijor Dal,Election Symbol not available,Assam,House No. 1, Near Modern High School, Mathgharia, Guwahati – 781020
Rashtriya Lok Dal,Election Symbol not available,Uttar Pradesh Rajasthan,AB 97, Shahjahan Road, New Delhi, 110011
Rashtriya Lok Morcha,Election Symbol not available,Bihar,24M Stand Road Patna pincode-800014
Rashtriya Samaj Paksha,Election Symbol not available,Maharashtra Kerala,Mumbai, Maharashtra
Rashtriya Ulama Council,Election Symbol not available,Uttar Pradesh,Adress Not Found on Wikipedia
Labour Party (India),Election Symbol not available,All-India,Adress Not Found on Wikipedia
Samata Party,Election Symbol not available,Bihar Manipur[77],Adress Not Found on Wikipedia
Shiromani Akali Dal (Amritsar),Election Symbol not available,Punjab,Quilla S. Harnam Singh, Fatehgarh Sahib district, Punjab, India
Social Democratic Party of India,Election Symbol not available,Karnataka Kerala Tamil Nadu,C-4, Hazrat Nizamuddin West New Delhi, India-110013
Socialist Party (India),Election Symbol not available,Uttar Pradesh,Lohiya Mazdoor Bhawan, H. No. 41/557, Dr. Tufel Ahmed Marg, Narhi, Lucknow, Uttar Pradesh[1]
Socialist Unity Centre of India (Communist),Election Symbol not available,All-India,48 Lenin Sarani Kolkata, India 700013 22°33′49.9″N 88°21′20.1″E﻿ / ﻿22.563861°N 88.355583°E﻿ / 22.563861; 88.355583
Suheldev Bharatiya Samaj Party,Election Symbol not available,Uttar Pradesh,Adress Not Found on Wikipedia
Swaraj India,Election Symbol not available,Haryana Karnataka Maharashtra,A – 189, Sector 43, Noida, Uttar Pradesh 201301
Tamil Maanila Congress (Moopanar),Election Symbol not available,Tamil Nadu,14, 5th Cross Street, Ellaiamman Colony, Teynampet, Chennai – 600086, Tamil Nadu, India.
Tamilaga Vettri Kazhagam,Election Symbol not available,Puducherry Tamil Nadu,275, Seashore Town, 8th Avenue, Panaiyur, East Coast Road, Chennai – 600119, Tamil Nadu, India
Tamil Nadu Kongu Ilaingar Peravai,Election Symbol not available,Tamil Nadu,Kongu Arivalayam, 4/127 Palladam Road, Tirupur-641605
Uttarakhand Kranti Dal,Election Symbol not available,Uttarakhand,Kranti Bhavan, 10 Court Road, Dehradun-248001, Uttarakhand
Vanchit Bahujan Aaghadi,Election Symbol not available,Maharashtra,First Floor, Thackersey House, Ballard Estate, Fort, Mumbai, Maharashtra 400001
Vikassheel Insaan Party,Election Symbol not available,Bihar,3rd Floor, Faizal Imam Complex, Fraser Rd, Patna, Bihar 800001
Welfare Party of India,Election Symbol not available,Kerala,E-57/1, 2nd Floor, Scholars Apartment, A.F.E - Part 1. Okhla, New Delhi - 110025
